"","batsman","total_runs","out","numberofballs","average","strikerate","total_four","total_six"
"107","D Kalyankrishna",3,1,7,3,42.8571428571429,0,0
"108","D Salunkhe",33,1,24,33,137.5,5,0
"109","D Shorey",13,2,17,6.5,76.4705882352941,0,1
"110","D Short",116,7,99,16.5714285714286,117.171717171717,11,5
"111","D Wiese",127,5,90,25.4,141.111111111111,12,4
"112","DA Miller",1858,54,1327,34.4074074074074,140.015071590053,127,87
"113","DA Warner",4717,114,3292,41.3771929824561,143.286755771567,459,181
"114","DAJ Bracewell",12,0,9,NA,133.333333333333,1,0
"115","DB Das",304,12,260,25.3333333333333,116.923076923077,23,16
"116","DB Ravi Teja",375,20,317,18.75,118.296529968454,35,9
"117","DE Bollinger",21,1,22,21,95.4545454545455,1,1
"118","DH Yagnik",170,9,135,18.8888888888889,125.925925925926,23,2
"119","DJ Bravo",1494,63,1155,23.7142857142857,129.350649350649,118,60
"120","DJ Harris",111,3,101,37,109.90099009901,11,5
"121","DJ Hooda",526,33,413,15.9393939393939,127.360774818402,27,24
"122","DJ Hussey",1322,48,1069,27.5416666666667,123.666978484565,90,60
"123","DJ Jacobs",92,7,97,13.1428571428571,94.8453608247423,10,4
"124","DJ Muthuswami",1,1,3,1,33.3333333333333,0,0
"125","DJ Thornely",39,3,52,13,75,2,2
"126","DJG Sammy",295,15,241,19.6666666666667,122.406639004149,15,18
"127","DL Chahar",71,6,44,11.8333333333333,161.363636363636,2,6
"128","DL Vettori",121,7,109,17.2857142857143,111.009174311927,11,2
"129","DM Bravo",6,0,5,NA,120,1,0
"130","DNT Zoysa",11,1,9,11,122.222222222222,1,0
"131","DP Nannes",4,1,13,4,30.7692307692308,0,0
"132","DP Vijaykumar",1,0,1,NA,100,0,0
"133","DPMD Jayawardene",1808,64,1460,28.25,123.835616438356,200,40
"134","DR Martyn",19,2,24,9.5,79.1666666666667,1,0
"135","DR Smith",2385,81,1758,29.4444444444444,135.665529010239,245,117
"136","DS Kulkarni",101,9,106,11.2222222222222,95.2830188679245,7,2
"137","DS Lehmann",18,2,18,9,100,3,0
"138","DT Christian",448,24,373,18.6666666666667,120.107238605898,22,19
"139","DT Patil",13,1,13,13,100,1,0
"140","DW Steyn",166,22,157,7.54545454545455,105.732484076433,14,3
"141","E Lewis",437,16,327,27.3125,133.639143730887,38,26
"142","EJG Morgan",854,38,702,22.4736842105263,121.652421652422,72,34
"143","ER Dwivedi",24,2,14,12,171.428571428571,2,2
"144","F Behardien",14,2,13,7,107.692307692308,2,0
"145","F du Plessis",1861,56,1459,33.2321428571429,127.553118574366,164,59
"146","FH Edwards",4,1,5,4,80,0,0
"147","FY Fazal",183,9,172,20.3333333333333,106.395348837209,22,1
"148","G Gambhir",4219,134,3400,31.4850746268657,124.088235294118,492,59
"149","GB Hogg",22,2,22,11,100,1,0
"150","GC Smith",739,30,666,24.6333333333333,110.960960960961,94,9
"151","GD McGrath",4,1,5,4,80,1,0
"152","GH Vihari",280,18,312,15.5555555555556,89.7435897435898,23,1
"153","GJ Bailey",663,29,543,22.8620689655172,122.099447513812,59,19
"154","GJ Maxwell",1401,62,864,22.5967741935484,162.152777777778,110,91
"155","GR Napier",15,1,16,15,93.75,1,0
"156","Gurkeerat Singh",443,26,342,17.0384615384615,129.53216374269,47,11
"157","H Brar",20,0,12,NA,166.666666666667,2,1
"158","H Das",2,1,5,2,40,0,0
"159","H Gurney",1,0,5,NA,20,0,0
"160","H Klaasen",67,5,57,13.4,117.543859649123,5,1
"161","H Vihari",4,2,8,2,50,0,0
"162","H Viljoen",3,2,5,1.5,60,0,0
"163","Harbhajan Singh",831,56,597,14.8392857142857,139.195979899497,79,42
"164","Harmeet Singh",18,2,12,9,150,3,0
"165","Harpreet Singh",20,2,26,10,76.9230769230769,0,0
"166","HH Gibbs",886,32,802,27.6875,110.473815461347,83,31
"167","HH Pandya",1082,38,689,28.4736842105263,157.039187227866,73,69
"168","HM Amla",577,13,407,44.3846153846154,141.769041769042,60,21
"169","HV Patel",107,8,68,13.375,157.352941176471,3,9
"170","I Malhotra",7,0,4,NA,175,1,0
"171","I Sharma",55,7,61,7.85714285714286,90.1639344262295,4,2
"172","I Sodhi",7,2,17,3.5,41.1764705882353,0,0
"173","IC Pandey",0,1,2,0,0,0,0
"174","IK Pathan",1150,52,948,22.1153846153846,121.308016877637,88,38
"175","Imran Tahir",20,4,27,5,74.0740740740741,3,0
"176","Iqbal Abdulla",88,1,83,88,106.024096385542,9,1
"177","IR Jaggi",76,5,97,15.2,78.3505154639175,6,0
"178","Ishan Kishan",701,31,531,22.6129032258065,132.015065913371,66,34
"179","J Archer",84,7,61,12,137.704918032787,6,4
"180","J Arunkumar",23,3,23,7.66666666666667,100,5,0
"181","J Bairstow",459,8,284,57.375,161.619718309859,50,18
"182","J Botha",409,22,358,18.5909090909091,114.245810055866,39,5
"183","J Denly",0,1,1,0,0,0,0
"184","J Searles",8,1,6,8,133.333333333333,0,1
"185","J Suchith",54,2,46,27,117.391304347826,4,2
"186","J Syed Mohammad",29,2,26,14.5,111.538461538462,4,0
"187","J Theron",10,2,12,5,83.3333333333333,1,0
"188","J Yadav",6,0,10,NA,60,0,0
"189","JA Morkel",975,40,682,24.375,142.961876832845,61,55
"190","Jaskaran Singh",8,2,11,4,72.7272727272727,0,0
"191","JC Buttler",1396,37,919,37.7297297297297,151.904243743199,143,61
"192","JD Ryder",604,29,456,20.8275862068966,132.456140350877,69,19
"193","JD Unadkat",55,7,53,7.85714285714286,103.77358490566,6,1
"194","JDP Oram",106,8,108,13.25,98.1481481481482,6,5
"195","JDS Neesham",42,3,46,14,91.304347826087,3,1
"196","JE Taylor",3,0,3,NA,100,0,0
"197","JEC Franklin",327,11,300,29.7272727272727,109,25,9
"198","JH Kallis",2427,89,2219,27.2696629213483,109.373591707977,255,44
"199","JJ Bumrah",37,3,38,12.3333333333333,97.3684210526316,2,1
"200","JJ Roy",183,5,135,36.6,135.555555555556,18,8
"201","JJ van der Wath",18,2,16,9,112.5,1,1
"202","JM Kemp",26,2,24,13,108.333333333333,1,1
"203","JO Holder",38,5,31,7.6,122.58064516129,4,2
"204","Joginder Sharma",36,4,30,9,120,1,2
"205","JP Duminy",2031,49,1633,41.4489795918367,124.372320881813,126,79
"206","JP Faulkner",527,28,387,18.8214285714286,136.175710594315,36,23
"207","JR Hopes",417,17,305,24.5294117647059,136.72131147541,49,11
"208","K Ahmed",0,1,1,0,0,0,0
"209","K Goel",218,13,230,16.7692307692308,94.7826086956522,17,9
"210","K Gowtham",145,12,83,12.0833333333333,174.698795180723,10,10
"211","K Paul",20,4,24,5,83.3333333333333,1,1
"212","K Rabada",70,6,78,11.6666666666667,89.7435897435898,5,2
"213","K Upadhyay",12,0,9,NA,133.333333333333,0,1
"214","KA Pollard",2772,102,1879,27.1764705882353,147.525279403938,182,175
"215","KAJ Roach",10,1,9,10,111.111111111111,1,0
"216","Kamran Akmal",128,4,78,32,164.102564102564,13,8
"217","Kamran Khan",3,1,5,3,60,0,0
"218","Karanveer Singh",12,1,17,12,70.5882352941177,1,0
"219","KB Arun Karthik",51,5,50,10.2,102,4,1
"220","KC Cariappa",24,3,21,8,114.285714285714,0,2
"221","KC Sangakkara",1687,69,1387,24.4492753623188,121.629416005768,195,27
"222","KD Karthik",3669,138,2813,26.5869565217391,130.430145751866,358,101
"223","KH Pandya",897,32,609,28.03125,147.290640394089,87,35
"224","KJ Abbott",13,1,8,13,162.5,0,1
"225","KK Cooper",116,9,68,12.8888888888889,170.588235294118,9,8
"226","KK Nair",1465,61,1137,24.016393442623,128.847845206684,158,39
"227","KL Rahul",1988,49,1428,40.5714285714286,139.21568627451,178,81
"228","KM Jadhav",1087,46,851,23.6304347826087,127.732079905993,92,38
"229","KMDN Kulasekara",5,0,2,NA,250,1,0
"230","KP Appanna",2,1,3,2,66.6666666666667,0,0
"231","KP Pietersen",1001,28,740,35.75,135.27027027027,91,40
"232","KS Williamson",1309,34,964,38.5,135.788381742739,111,44
"233","Kuldeep Yadav",45,4,54,11.25,83.3333333333333,4,0
"234","KV Sharma",317,21,270,15.0952380952381,117.407407407407,18,14
"235","KW Richardson",36,3,39,12,92.3076923076923,2,1
"236","L Ablish",0,0,2,NA,0,0,0
"237","L Balaji",36,7,47,5.14285714285714,76.5957446808511,2,1
"238","L Livingstone",71,3,47,23.6666666666667,151.063829787234,6,5
"239","L Plunkett",1,1,3,1,33.3333333333333,0,0
"240","L Ronchi",34,3,34,11.3333333333333,100,6,1
"241","LA Carseldine",81,3,68,27,119.117647058824,11,0
"242","LA Pomersbach",302,11,244,27.4545454545455,123.770491803279,25,13
"243","LH Ferguson",1,0,1,NA,100,0,0
"244","LJ Wright",106,4,60,26.5,176.666666666667,16,3
"245","LMP Simmons",1079,27,851,39.962962962963,126.792009400705,109,44
"246","LPC Silva",40,2,25,20,160,5,1
"247","LR Shukla",405,29,346,13.9655172413793,117.052023121387,33,16
"248","LRPL Taylor",1017,41,818,24.8048780487805,124.327628361858,66,46
"249","M Ali",302,10,177,30.2,170.621468926554,21,23
"250","M Ashwin",4,3,8,1.33333333333333,50,0,0
"251","M de Lange",1,1,2,1,50,0,0
"252","M Kaif",259,16,249,16.1875,104.016064257028,22,6
"253","M Kartik",113,7,108,16.1428571428571,104.62962962963,7,1
"254","M Klinger",73,4,77,18.25,94.8051948051948,9,0
"255","M Lomror",28,2,24,14,116.666666666667,3,0
"256","M Manhas",514,24,469,21.4166666666667,109.594882729211,43,10
"257","M Markande",30,3,29,10,103.448275862069,3,0
"258","M Morkel",126,11,90,11.4545454545455,140,11,5
"259","M Muralitharan",20,6,29,3.33333333333333,68.9655172413793,1,0
"260","M Ntini",11,1,18,11,61.1111111111111,2,0
"261","M Rawat",55,5,69,11,79.7101449275362,4,1
"262","M Santner",33,1,23,33,143.478260869565,0,3
"263","M Ur Rahman",12,2,11,6,109.090909090909,2,0
"264","M Vijay",2589,93,2104,27.8387096774194,123.051330798479,243,91
"265","M Vohra",1013,42,767,24.1190476190476,132.073011734029,97,39
"266","M Wood",1,1,3,1,33.3333333333333,0,0
"267","MA Agarwal",1269,67,988,18.9402985074627,128.441295546559,117,52
"268","MA Khote",24,2,20,12,120,2,1
"269","MA Starc",96,6,98,16,97.9591836734694,10,0
"270","Mandeep Singh",1535,71,1227,21.6197183098592,125.101874490628,161,33
"271","Mashrafe Mortaza",2,0,2,NA,100,0,0
"272","MC Henriques",969,35,756,27.6857142857143,128.174603174603,87,27
"273","MC Juneja",125,7,127,17.8571428571429,98.4251968503937,11,1
"274","MD Mishra",237,15,208,15.8,113.942307692308,24,8
"275","MDKJ Perera",14,2,13,7,107.692307692308,3,0
"276","MEK Hussey",1977,52,1608,38.0192307692308,122.94776119403,198,52
"277","MF Maharoof",177,10,122,17.7,145.081967213115,12,9
"278","MG Johnson",168,14,161,12,104.347826086957,10,7
"279","Misbah-ul-Haq",117,9,81,13,144.444444444444,10,6
"280","MJ Clarke",98,5,94,19.6,104.255319148936,12,0
"281","MJ Guptill",271,12,196,22.5833333333333,138.265306122449,24,15
"282","MJ Lumb",278,10,193,27.8,144.041450777202,45,6
"283","MJ McClenaghan",88,11,70,8,125.714285714286,5,7
"284","MK Pandey",2855,95,2352,30.0526315789474,121.386054421769,253,76
"285","MK Tiwary",1696,60,1446,28.2666666666667,117.289073305671,156,40
"286","ML Hayden",1107,27,802,41,138.029925187032,121,44
"287","MM Patel",39,5,41,7.8,95.1219512195122,5,0
"288","MM Sharma",123,14,117,8.78571428571429,105.128205128205,9,4
"289","MN Samuels",161,12,171,13.4166666666667,94.1520467836257,9,7
"290","MN van Wyk",167,3,132,55.6666666666667,126.515151515152,19,1
"291","Mohammad Ashraful",2,1,10,2,20,0,0
"292","Mohammad Asif",3,2,6,1.5,50,0,0
"293","Mohammad Hafeez",64,8,82,8,78.0487804878049,7,2
"294","Mohammad Nabi",142,8,91,17.75,156.043956043956,11,7
"295","Mohammed Shami",54,9,52,6,103.846153846154,5,2
"296","Mohammed Siraj",32,3,36,10.6666666666667,88.8888888888889,2,1
"297","MP Stoinis",476,15,362,31.7333333333333,131.491712707182,34,18
"298","MR Marsh",225,12,196,18.75,114.795918367347,9,14
"299","MS Bisla",798,37,697,21.5675675675676,114.490674318508,93,23
"300","MS Dhoni",4450,118,3206,37.7118644067797,138.802245789145,297,207
"301","MS Gony",99,9,70,11,141.428571428571,6,8
"302","MS Wade",22,3,33,7.33333333333333,66.6666666666667,0,0
"303","Mustafizur Rahman",1,1,3,1,33.3333333333333,0,0
"304","MV Boucher",394,15,308,26.2666666666667,127.922077922078,32,13
"305","N Naik",7,1,16,7,43.75,1,0
"306","N Pooran",170,6,106,28.3333333333333,160.377358490566,11,14
"307","N Rana",1093,40,808,27.325,135.272277227723,85,60
"308","N Saini",142,12,144,11.8333333333333,98.6111111111111,16,0
"309","ND Doshi",0,1,13,0,0,0,0
"310","Niraj Patel",121,5,118,24.2,102.542372881356,14,1
"311","NJ Maddinson",20,3,21,6.66666666666667,95.2380952380952,4,0
"312","NJ Rimmington",1,0,1,NA,100,0,0
"313","NL McCullum",26,3,21,8.66666666666667,123.809523809524,0,1
"314","NLTC Perera",424,24,305,17.6666666666667,139.016393442623,23,26
"315","NM Coulter-Nile",52,7,50,7.42857142857143,104,3,4
"316","NS Naik",23,2,31,11.5,74.1935483870968,1,0
"317","NV Ojha",1555,74,1308,21.0135135135135,118.88379204893,121,79
"318","OA Shah",506,13,386,38.9230769230769,131.088082901554,34,23
"319","P Awana",5,3,14,1.66666666666667,35.7142857142857,0,0
"320","P Chopra",8,1,6,8,133.333333333333,2,0
"321","P Dogra",127,12,138,10.5833333333333,92.0289855072464,4,5
"322","P Krishna",1,1,7,1,14.2857142857143,0,0
"323","P Kumar",340,34,314,10,108.28025477707,22,17
"324","P Negi",365,26,288,14.0384615384615,126.736111111111,27,16
"325","P Parameswaran",1,0,2,NA,50,0,0
"326","P R Barman",19,1,24,19,79.1666666666667,2,0
"327","P Raj",0,0,1,NA,0,0,0
"328","P Sahu",19,0,13,NA,146.153846153846,1,1
"329","P Shaw",604,24,423,25.1666666666667,142.789598108747,73,19
"330","PA Patel",2864,127,2352,22.5511811023622,121.768707482993,366,49
"331","PA Reddy",164,10,160,16.4,102.5,15,2
"332","Pankaj Singh",7,2,12,3.5,58.3333333333333,0,0
"333","Parvez Rasool",17,2,20,8.5,85,1,0
"334","PC Valthaty",505,22,415,22.9545454545455,121.686746987952,61,20
"335","PD Collingwood",203,4,156,50.75,130.128205128205,9,13
"336","PJ Cummins",77,6,55,12.8333333333333,140,5,4
"337","PJ Sangwan",24,7,39,3.42857142857143,61.5384615384615,1,0
"338","PM Sarvesh Kumar",1,0,2,NA,50,0,0
"339","PP Chawla",584,50,519,11.68,112.52408477842,54,18
"340","PP Ojha",16,10,44,1.6,36.3636363636364,0,0
"341","PR Shah",92,8,91,11.5,101.098901098901,9,2
"342","PSP Handscomb",6,1,12,6,50,0,0
"343","PV Tambe",18,1,39,18,46.1538461538462,1,0
"344","Q de Kock",1478,46,1109,32.1304347826087,133.273219116321,156,54
"345","R Ashwin",376,33,336,11.3939393939394,111.904761904762,32,10
"346","R Bhatia",342,29,284,11.7931034482759,120.422535211268,24,13
"347","R Bhui",7,2,17,3.5,41.1764705882353,0,0
"348","R Bishnoi",19,3,17,6.33333333333333,111.764705882353,1,2
"349","R Dhawan",153,7,135,21.8571428571429,113.333333333333,13,4
"350","R Dravid",2174,77,1877,28.2337662337662,115.823122003197,269,28
"351","R McLaren",159,8,169,19.875,94.0828402366864,14,1
"352","R Ninan",3,1,6,3,50,0,0
"353","R Parag",161,4,126,40.25,127.777777777778,17,5
"354","R Rampaul",51,5,49,10.2,104.081632653061,3,2
"355","R Salam",5,0,4,NA,125,0,0
"356","R Sathish",270,16,231,16.875,116.883116883117,22,6
"357","R Sharma",66,11,75,6,88,5,3
"358","R Shukla",19,2,23,9.5,82.6086956521739,2,0
"359","R Singh",66,6,65,11,101.538461538462,5,2
"360","R Tewatia",115,7,89,16.4285714285714,129.213483146067,11,3
"361","R Vinay Kumar",310,26,271,11.9230769230769,114.391143911439,21,9
"362","RA Jadeja",1931,83,1567,23.2650602409639,123.229100191449,137,65
"363","RA Tripathi",761,27,553,28.1851851851852,137.613019891501,73,27
"364","Rashid Khan",105,12,63,8.75,166.666666666667,5,9
"365","RD Chahar",15,2,13,7.5,115.384615384615,2,0
"366","RE Levi",83,6,73,13.8333333333333,113.698630136986,10,4
"367","RE van der Merwe",159,11,141,14.4545454545455,112.765957446808,11,8
"368","RG More",2,0,2,NA,100,0,0
"369","RG Sharma",4902,161,3742,30.4472049689441,130.999465526456,431,194
"370","RJ Harris",117,12,111,9.75,105.405405405405,6,3
"371","RJ Peterson",32,3,29,10.6666666666667,110.344827586207,3,1
"372","RJ Quiney",103,7,102,14.7142857142857,100.980392156863,12,3
"373","RN ten Doeschate",326,17,234,19.1764705882353,139.316239316239,26,15
"374","RP Singh",52,15,72,3.46666666666667,72.2222222222222,2,1
"375","RR Bhatkal",0,2,2,0,0,0,0
"376","RR Pant",1767,49,1071,36.0612244897959,164.985994397759,154,94
"377","RR Powar",67,3,63,22.3333333333333,106.349206349206,6,1
"378","RR Raje",20,1,18,20,111.111111111111,1,1
"379","RR Rossouw",53,6,51,8.83333333333333,103.921568627451,3,3
"380","RR Sarwan",73,3,75,24.3333333333333,97.3333333333333,6,1
"381","RS Bopara",531,19,452,27.9473684210526,117.477876106195,39,16
"382","RS Gavaskar",2,1,8,2,25,0,0
"383","RS Sodhi",4,0,2,NA,200,1,0
"384","RT Ponting",91,8,127,11.375,71.6535433070866,5,2
"385","RV Gomez",50,7,50,7.14285714285714,100,5,1
"386","RV Uthappa",4420,156,3381,28.3333333333333,130.730553090802,436,156
"387","S Anirudha",136,8,110,17,123.636363636364,9,7
"388","S Aravind",59,3,56,19.6666666666667,105.357142857143,7,0
"389","S Badree",13,5,23,2.6,56.5217391304348,0,0
"390","S Badrinath",1441,48,1210,30.0208333333333,119.090909090909,154,28
"391","S Chanderpaul",25,3,31,8.33333333333333,80.6451612903226,4,0
"392","S Curran",95,4,55,23.75,172.727272727273,13,3
"393","S Dhawan",4601,137,3665,33.5839416058394,125.538881309686,526,96
"394","S Dube",40,4,33,10,121.212121212121,1,3
"395","S Gill",510,14,377,36.4285714285714,135.278514588859,45,15
"396","S Gopal",129,8,118,16.125,109.322033898305,14,1
"397","S Hetmyer",90,5,73,18,123.287671232877,4,7
"398","S Kaul",12,3,28,4,42.8571428571429,0,0
"399","S Kaushik",0,1,1,0,0,0,0
"400","S Ladda",0,2,9,0,0,0,0
"401","S Lamichhane",0,1,1,0,0,0,0
"402","S Mavi",13,3,15,4.33333333333333,86.6666666666667,1,0
"403","S Nadeem",32,14,77,2.28571428571429,41.5584415584416,1,0
"404","S Narwal",37,4,27,9.25,137.037037037037,6,0
"405","S Rana",91,5,81,18.2,112.345679012346,9,1
"406","S Randiv",2,1,4,2,50,0,0
"407","S Rutherford",77,5,53,15.4,145.283018867925,4,7
"408","S Sharma",6,0,3,NA,200,1,0
"409","S Singh",16,1,17,16,94.1176470588235,1,1
"410","S Sohal",368,18,290,20.4444444444444,126.896551724138,34,18
"411","S Sreesanth",34,3,52,11.3333333333333,65.3846153846154,6,0
"412","S Sriram",31,2,36,15.5,86.1111111111111,3,0
"413","S Tyagi",3,0,4,NA,75,0,0
"414","S Vidyut",145,8,108,18.125,134.259259259259,21,3
"415","SA Abbott",15,1,13,15,115.384615384615,1,1
"416","SA Asnodkar",423,19,339,22.2631578947368,124.778761061947,56,10
"417","SA Yadav",608,29,465,20.9655172413793,130.752688172043,54,21
"418","Sachin Baby",137,9,101,15.2222222222222,135.643564356436,11,5
"419","Salman Butt",193,7,161,27.5714285714286,119.875776397516,30,2
"420","Sandeep Sharma",26,3,38,8.66666666666667,68.4210526315789,1,0
"421","SB Bangar",49,6,58,8.16666666666667,84.4827586206897,1,3
"422","SB Jakati",28,2,29,14,96.551724137931,3,0
"423","SB Joshi",6,2,14,3,42.8571428571429,0,0
"424","SB Styris",131,7,133,18.7142857142857,98.4962406015038,10,3
"425","SB Wagh",2,2,3,1,66.6666666666667,0,0
"426","SC Ganguly",1349,54,1261,24.9814814814815,106.978588421887,137,42
"427","SD Chitnis",99,7,89,14.1428571428571,111.23595505618,10,2
"428","SD Lad",15,1,13,15,115.384615384615,1,1
"429","SE Bond",1,1,2,1,50,0,0
"430","SE Marsh",2489,65,1866,38.2923076923077,133.386923901393,269,78
"431","Shahid Afridi",81,8,46,10.125,176.086956521739,7,6
"432","Shakib Al Hasan",750,34,588,22.0588235294118,127.551020408163,69,20
"433","Shivam Sharma",5,1,3,5,166.666666666667,1,0
"434","Shoaib Ahmed",1,2,6,0.5,16.6666666666667,0,0
"435","Shoaib Akhtar",2,1,7,2,28.5714285714286,0,0
"436","Shoaib Malik",52,4,47,13,110.63829787234,5,0
"437","SJ Srivastava",5,1,5,5,100,0,0
"438","SK Raina",5386,160,3916,33.6625,137.538304392237,495,195
"439","SK Trivedi",42,8,59,5.25,71.1864406779661,3,1
"440","SK Warne",198,19,213,10.4210526315789,92.9577464788732,14,6
"441","SL Malinga",88,12,99,7.33333333333333,88.8888888888889,6,5
"442","SM Harwood",9,0,13,NA,69.2307692307692,0,0
"443","SM Katich",241,10,184,24.1,130.978260869565,26,8
"444","SM Pollock",147,8,111,18.375,132.432432432432,12,8
"445","SMSM Senanayake",10,1,17,10,58.8235294117647,0,0
"446","SN Khan",412,18,285,22.8888888888889,144.561403508772,44,11
"447","SN Thakur",36,4,21,9,171.428571428571,5,1
"448","Sohail Tanvir",36,3,29,12,124.137931034483,3,1
"449","SP Fleming",196,9,165,21.7777777777778,118.787878787879,27,3
"450","SP Goswami",295,18,290,16.3888888888889,101.724137931034,33,3
"451","SP Jackson",38,2,31,19,122.58064516129,5,0
"452","SP Narine",785,40,458,19.625,171.397379912664,94,44
"453","SPD Smith",2038,59,1570,34.5423728813559,129.808917197452,181,49
"454","SR Tendulkar",2334,71,1943,32.8732394366197,120.123520329388,296,29
"455","SR Watson",3590,115,2566,31.2173913043478,139.906469212783,344,177
